200
numero;date_debut;date_fin;categorie;km;client;car
0;22-4-2018-5;20-4-2019-5;C;1515;693241252;NL-230-NL
1;12-2-2018-12;10-10-2018-12;A;2299;666095998;KY-427-KY
2;11-1-2018-10;1-10-2019-10;C;883;672874351;AI-171-AI
3;18-12-2018-3;17-6-2019-3;C;130;675307971;UW-729-UW
4;11-9-2018-8;7-5-2019-8;C;910;690960096;UO-377-UO
5;1-3-2018-5;23-8-2019-5;B;531;662916792;DS-122-DS
6;5-9-2018-2;11-11-2019-2;B;354;665836717;BC-449-BC
7;2-9-2018-7;12-10-2019-7;C;2386;694557164;FY-678-FY
8;1-12-2018-2;1-4-2019-2;A;3658;669202480;BC-430-BC
9;13-4-2018-6;29-1-2019-6;A;3888;673286261;AN-743-AN
10;1-9-2019-9;29-11-2019-9;A;3775;683993001;DF-170-DF
11;29-4-2018-8;20-9-2019-8;B;218;667851416;HM-363-HM
12;29-9-2018-3;4-2-2019-3;B;1314;684595536;KM-315-KM
13;26-8-2019-12;25-11-2019-12;B;994;693241252;ZE-352-ZE
14;7-1-2018-8;8-12-2018-8;A;2037;685002560;HI-374-HI
15;29-9-2018-2;4-6-2019-2;C;1537;686203372;FY-678-FY
16;30-9-2018-6;5-11-2019-6;B;3544;668574789;MS-530-MS
17;30-7-2019-1;21-9-2019-1;B;889;658230374;FF-312-FF
18;29-5-2018-8;25-12-2018-8;A;1726;668311658;HH-683-HH
19;11-3-2019-10;17-3-2019-10;C;2008;670605920;UW-729-UW
20;30-1-2019-10;16-12-2019-10;A;2499;685614911;BC-430-BC
21;23-2-2018-3;19-6-2018-3;B;1895;691200452;HM-363-HM
22;14-1-2018-8;10-5-2019-8;B;436;661182428;DL-095-DL
23;16-11-2018-12;17-7-2019-12;C;630;693573908;MH-396-MH
24;11-11-2018-12;22-11-2018-12;C;3968;682852095;ZC-736-ZC
25;18-1-2019-9;16-3-2019-9;B;1128;676493746;LZ-447-LZ
26;11-3-2018-9;17-10-2019-9;C;2247;669475529;IR-600-IR
27;22-9-2018-3;12-9-2019-3;B;3656;686899932;IT-424-IT
28;27-2-2019-11;23-7-2019-11;B;3106;662546124;WA-443-WA
29;9-9-2018-6;11-1-2019-6;A;3650;659730975;PR-156-PR
30;26-6-2018-5;28-9-2019-5;C;446;677745611;UO-377-UO
31;3-1-2019-9;29-7-2019-9;B;1664;683592102;KD-172-KD
32;8-7-2018-5;27-8-2019-5;B;1980;693573908;KE-512-KE
33;6-3-2018-10;4-5-2018-10;C;2936;684709909;FN-683-FN
34;12-12-2018-12;10-12-2019-12;C;3739;663401141;KY-188-KY
35;30-1-2018-6;24-11-2019-6;C;3139;667181790;ZU-012-ZU
36;5-5-2018-8;12-1-2019-8;C;3300;657273022;DK-746-DK
37;5-12-2018-6;19-7-2019-6;C;2817;683690773;TP-866-TP
38;12-2-2018-8;28-7-2018-8;C;3764;684595536;ON-354-ON
39;8-2-2018-10;20-10-2019-10;A;2110;684995518;KI-901-KI
40;8-3-2018-7;24-12-2018-7;B;1495;690785307;RL-526-RL
41;4-10-2019-8;20-10-2019-8;B;3824;663211500;YZ-004-YZ
42;24-4-2018-4;10-7-2018-4;B;1120;686203372;BC-449-BC
43;7-7-2018-11;15-10-2018-11;B;245;690571341;OA-301-OA
44;16-5-2018-1;5-7-2018-1;B;1087;688238488;WU-278-WU
45;2-1-2019-1;2-12-2019-1;B;2636;678980353;CE-647-CE
46;7-5-2018-10;6-7-2019-10;C;1380;693972268;UP-783-UP
47;26-2-2018-1;8-4-2018-1;B;1934;685135819;UO-828-UO
48;18-5-2018-2;10-8-2019-2;C;3548;659611022;ZO-768-ZO
49;15-2-2018-4;20-4-2018-4;B;3622;663103551;OP-729-OP
50;1-3-2018-5;5-3-2018-5;A;2727;669412468;BE-668-BE
51;22-3-2019-9;29-5-2019-9;A;3265;669597838;MN-266-MN
52;30-5-2018-3;18-11-2018-3;C;2349;694661194;ZJ-581-ZJ
53;9-10-2018-7;28-6-2019-7;B;3411;690571341;OO-602-OO
